U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,SOC,SOH,material_capacity,pulse_ms
3.4233,3.4409,3.4418,3.4245,3.4238,3.4065,3.4056,3.4228,3.4237,3.4586,3.4602,3.4258,3.4242,3.3893,3.3877,3.4219,3.4235,3.4763,3.4783,3.4268,3.4244,3.3719,3.3698,3.4212,3.4235,3.4937,3.4964,3.4279,3.4247,3.3548,3.352,3.4202,3.4233,3.5107,3.5141,3.4289,3.4249,3.3378,3.3343,3.4195,3.4233,20.0,0.7786333333333334,NMC_15Ah,100
3.4293,3.4488,3.45,3.4309,3.43,3.4107,3.4093,3.4284,3.4296,3.4686,3.4707,3.4326,3.4302,3.3914,3.3893,3.4272,3.4296,3.4881,3.4911,3.434,3.4305,3.3722,3.3691,3.4261,3.4296,3.5074,3.5113,3.4354,3.4307,3.3533,3.3492,3.4249,3.4295,3.5265,3.5313,3.4368,3.431,3.3343,3.3294,3.4237,3.4293,20.0,0.7703000000000001,NMC_15Ah,100
3.4226,3.4419,3.443,3.4242,3.423,3.404,3.4028,3.4216,3.4228,3.4612,3.4633,3.4256,3.4233,3.3849,3.3828,3.4203,3.4226,3.4804,3.4835,3.4268,3.4235,3.3661,3.3626,3.4191,3.4226,3.4993,3.5034,3.4284,3.4237,3.3471,3.3429,3.4179,3.4224,3.5185,3.5234,3.4296,3.424,3.3282,3.3231,3.4168,3.4223,20.0,0.7873,NMC_15Ah,100
3.4295,3.4484,3.4493,3.4307,3.4298,3.4112,3.4103,3.4286,3.4296,3.4676,3.4691,3.4321,3.4302,3.3924,3.3907,3.4277,3.4295,3.4863,3.4888,3.433,3.4303,3.3738,3.3714,3.4268,3.4293,3.5051,3.5081,3.4342,3.4307,3.3552,3.3519,3.4258,3.4293,3.5237,3.5276,3.4353,3.4307,3.3368,3.3329,3.4247,3.4291,20.0,0.7794666666666666,NMC_15Ah,100
3.4263,3.4458,3.447,3.4279,3.427,3.4075,3.4065,3.4254,3.4267,3.4656,3.4677,3.4295,3.4272,3.3884,3.3863,3.4244,3.4268,3.4851,3.4881,3.431,3.4277,3.3694,3.3663,3.4235,3.4268,3.5048,3.5085,3.4323,3.4281,3.3501,3.3461,3.4224,3.4267,3.5241,3.5285,3.4335,3.4282,3.331,3.3262,3.4212,3.4265,20.0,0.77544,NMC_15Ah,100
3.4173,3.4361,3.437,3.4189,3.4181,3.3996,3.3986,3.4168,3.4177,3.4549,3.4565,3.4203,3.4184,3.3812,3.3796,3.4158,3.4177,3.4734,3.4758,3.4214,3.4186,3.3631,3.3605,3.4147,3.4177,3.4916,3.4949,3.4226,3.4189,3.3448,3.3417,3.414,3.4175,3.5099,3.5139,3.4237,3.4191,3.3271,3.3231,3.4128,3.4175,20.0,0.78944,NMC_15Ah,100
3.4272,3.446,3.4468,3.4286,3.4277,3.4091,3.4082,3.4265,3.4274,3.4651,3.4665,3.4296,3.4279,3.3905,3.3889,3.4258,3.4274,3.4837,3.4858,3.4305,3.4282,3.3719,3.3696,3.4247,3.4272,3.5023,3.505,3.4316,3.4284,3.3533,3.3505,3.4238,3.427,3.5208,3.5241,3.4324,3.4286,3.3352,3.3315,3.423,3.427,20.0,0.77758,NMC_15Ah,100
3.4314,3.4507,3.4519,3.4331,3.4321,3.413,3.4117,3.4305,3.4316,3.47,3.4723,3.4347,3.4323,3.3942,3.3919,3.4293,3.4316,3.4892,3.4925,3.4361,3.4326,3.3752,3.3719,3.4281,3.4316,3.5083,3.5123,3.4375,3.4328,3.3564,3.352,3.4268,3.4314,3.5269,3.5322,3.4388,3.433,3.3378,3.3322,3.4254,3.4314,20.0,0.7711666666666667,NMC_15Ah,100
3.4309,3.4514,3.4525,3.4326,3.4316,3.4112,3.41,3.43,3.4312,3.4719,3.4739,3.434,3.4317,3.3912,3.3891,3.4289,3.4312,3.4921,3.4951,3.4354,3.4321,3.3712,3.368,3.4277,3.431,3.5123,3.5162,3.4367,3.4321,3.351,3.3471,3.4265,3.4309,3.5325,3.5371,3.4381,3.4326,3.3313,3.3262,3.4256,3.4309,20.0,0.7737999999999999,NMC_15Ah,100
3.4274,3.4472,3.4481,3.4289,3.4279,3.4082,3.4072,3.4265,3.4275,3.467,3.469,3.4303,3.4282,3.3887,3.3868,3.4254,3.4275,3.4867,3.4897,3.4316,3.4284,3.3692,3.3664,3.4242,3.4275,3.5064,3.5099,3.433,3.4286,3.3499,3.3461,3.4231,3.4274,3.5258,3.5304,3.4344,3.4289,3.331,3.3262,3.4221,3.4274,20.0,0.7863266666666667,NMC_15Ah,100
