File_Name,Mat,No.,ID,Qn,Q,SOH,Pt,SOC,SOCR,source_file,source_dir,label,sheet,pulse_width_ms,pulse_ms
LMO_C_10_B_86_SOC_5-85_Part_1-1_ID_PIP15D23A03282874.xlsx,LMO,86,PIP15D23A03282874,10,8.8511,0.8851100000000001,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_87_SOC_5-85_Part_1-1_ID_PIP15D19A03271997.xlsx,LMO,87,PIP15D19A03271997,10,8.8458,0.88458,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_88_SOC_5-85_Part_1-1_ID_PIP15D01A03220958.xlsx,LMO,88,PIP15D01A03220958,10,8.7494,0.8749399999999999,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_89_SOC_5-85_Part_1-1_ID_PIP16N1700C039158.xlsx,LMO,89,PIP16N1700C039158,10,9.1862,0.91862,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_8_SOC_5-55_Part_1-1_ID_PIP15825A00238596.xlsx,LMO,8,PIP15825A00238596,10,5.8605,0.58605,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_90_SOC_5-85_Part_1-1_ID_PIP15D25A03205744.xlsx,LMO,90,PIP15D25A03205744,10,9.073,0.9073,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_91_SOC_5-85_Part_1-1_ID_PIP15N08A03230424.xlsx,LMO,91,PIP15N08A03230424,10,8.7927,0.87927,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_92_SOC_5-85_Part_1-1_ID_PIP15N12A03225967.xlsx,LMO,92,PIP15N12A03225967,10,9.0827,0.9082700000000001,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_93_SOC_5-85_Part_1-1_ID_PIP15N21A03210500.xlsx,LMO,93,PIP15N21A03210500,10,9.0741,0.9074099999999999,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_94_SOC_5-85_Part_1-1_ID_PIP15D25A03226871.xlsx,LMO,94,PIP15D25A03226871,10,9.0497,0.9049699999999999,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_95_SOC_5-85_Part_1-1_ID_PIP15D26A03200099.xlsx,LMO,95,PIP15D26A03200099,10,8.9191,0.89191,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_9_SOC_5-55_Part_1-1_ID_PIP15826A00208229.xlsx,LMO,9,PIP15826A00208229,10,5.7452,0.5745199999999999,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
NMC_C_15_B_10_SOC_5-70_Part_1-1_ID_PJP17530529002A009966.xlsx,NMC,10,PJP17530529002A009966,15,11.6991,0.77994,0.03,5,0.04999333333333333,NMC_15Ah_W_30.xlsx,15Ah NMC,NMC_15Ah,SOC5,30,30
NMC_C_15_B_11_SOC_5-65_Part_1-1_ID_PJP17530529002A000443.xlsx,NMC,11,PJP17530529002A000443,15,11.342,0.7561333333333333,0.03,5,0.04999333333333333,NMC_15Ah_W_30.xlsx,15Ah NMC,NMC_15Ah,SOC5,30,30
NMC_C_15_B_12_SOC_5-65_Part_1-1_ID_PJP17930O01002A011242.xlsx,NMC,12,PJP17930O01002A011242,15,11.5908,0.77272,0.03,5,0.04999333333333333,NMC_15Ah_W_30.xlsx,15Ah NMC,NMC_15Ah,SOC5,30,30
NMC_C_15_B_13_SOC_5-65_Part_1-1_ID_PJP17601527003A007037.xlsx,NMC,13,PJP17601527003A007037,15,11.5449,0.76966,0.03,5,0.04999333333333333,NMC_15Ah_W_30.xlsx,15Ah NMC,NMC_15Ah,SOC5,30,30
NMC_C_15_B_14_SOC_5-70_Part_1-1_ID_PJP17930O01003A016973.xlsx,NMC,14,PJP17930O01003A016973,15,11.7012,0.78008,0.03,5,0.04999333333333333,NMC_15Ah_W_30.xlsx,15Ah NMC,NMC_15Ah,SOC5,30,30
NMC_C_15_B_15_SOC_5-70_Part_1-1_ID_PJP17601527001A011371.xlsx,NMC,15,PJP17601527001A011371,15,11.7594,0.78396,0.03,5,0.05,NMC_15Ah_W_30.xlsx,15Ah NMC,NMC_15Ah,SOC5,30,30
NMC_C_15_B_16_SOC_5-70_Part_1-1_ID_PJP17601529001A009420.xlsx,NMC,16,PJP17601529001A009420,15,11.7053,0.7803533333333333,0.03,5,0.04999333333333333,NMC_15Ah_W_30.xlsx,15Ah NMC,NMC_15Ah,SOC5,30,30
NMC_C_15_B_17_SOC_5-65_Part_1-1_ID_PJP17930O01003A017268.xlsx,NMC,17,PJP17930O01003A017268,15,11.5224,0.76816,0.03,5,0.04999333333333333,NMC_15Ah_W_30.xlsx,15Ah NMC,NMC_15Ah,SOC5,30,30
