nohup: ignoring input

==========================================================================================
[READ] Transfer ablation: soft reference
[READ] Source: proposed further-analysis summary, split == 'test'
==========================================================================================

==========================================================================================
[RUN] Transfer ablation: hard
[RUN] Meaning: Use argmax material prediction converted to one-hot downstream context.
[RUN] Pulse list: [30, 50, 70, 100, 300, 500, 700, 1000, 3000, 5000]
[RUN] Output directory: /scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/transfer_ablation/hard
==========================================================================================
[INFO] Device: cpu
[INFO] Material transfer mode: hard
[INFO] Meaning: Use argmax material prediction converted to one-hot downstream context.
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=200, best_score=0.834720, best_epoch=75
[hard | stage1_soc] Loaded BEST checkpoint from epoch=75 | score=0.8347195965402266
[RESUME-stage2_soh] start_epoch=14, best_score=-0.537601, best_epoch=8
[hard | stage2_soh] epoch 118 | VAL cls=0.9686 | SOC MedAPE(raw)=5.866% | SOH MedAPE(raw)=2.577% | val_score=-0.505998
[hard | stage2_soh] epoch 119 | VAL cls=0.9686 | SOC MedAPE(raw)=5.810% | SOH MedAPE(raw)=2.328% | val_score=-0.501746
[hard | stage2_soh] epoch 120 | VAL cls=0.9686 | SOC MedAPE(raw)=5.973% | SOH MedAPE(raw)=2.319% | val_score=-0.498521
[hard | stage2_soh] epoch 121 | VAL cls=0.9686 | SOC MedAPE(raw)=5.838% | SOH MedAPE(raw)=2.451% | val_score=-0.521787
[hard | stage2_soh] epoch 122 | VAL cls=0.9686 | SOC MedAPE(raw)=5.474% | SOH MedAPE(raw)=2.360% | val_score=-0.519949
[hard | stage2_soh] epoch 123 | VAL cls=0.9686 | SOC MedAPE(raw)=6.039% | SOH MedAPE(raw)=2.496% | val_score=-0.516655
[hard | stage2_soh] epoch 124 | VAL cls=0.9686 | SOC MedAPE(raw)=5.934% | SOH MedAPE(raw)=2.476% | val_score=-0.526633
[hard | stage2_soh] epoch 125 | VAL cls=0.9686 | SOC MedAPE(raw)=5.785% | SOH MedAPE(raw)=2.334% | val_score=-0.508641
[hard | stage2_soh] epoch 126 | VAL cls=0.9686 | SOC MedAPE(raw)=6.027% | SOH MedAPE(raw)=2.381% | val_score=-0.521378
[hard | stage2_soh] epoch 127 | VAL cls=0.9686 | SOC MedAPE(raw)=6.477% | SOH MedAPE(raw)=2.406% | val_score=-0.505633
[hard | stage2_soh] epoch 128 | VAL cls=0.9686 | SOC MedAPE(raw)=6.068% | SOH MedAPE(raw)=2.391% | val_score=-0.513947
[hard | stage2_soh] epoch 129 | VAL cls=0.9686 | SOC MedAPE(raw)=5.964% | SOH MedAPE(raw)=2.602% | val_score=-0.528662
[hard | stage2_soh] epoch 130 | VAL cls=0.9686 | SOC MedAPE(raw)=5.922% | SOH MedAPE(raw)=2.511% | val_score=-0.490351
[hard | stage2_soh] epoch 131 | VAL cls=0.9686 | SOC MedAPE(raw)=5.883% | SOH MedAPE(raw)=2.298% | val_score=-0.562176
[hard | stage2_soh] epoch 132 | VAL cls=0.9686 | SOC MedAPE(raw)=6.107% | SOH MedAPE(raw)=2.395% | val_score=-0.540429
[hard | stage2_soh] epoch 133 | VAL cls=0.9686 | SOC MedAPE(raw)=6.166% | SOH MedAPE(raw)=2.571% | val_score=-0.544791
[hard | stage2_soh] epoch 134 | VAL cls=0.9686 | SOC MedAPE(raw)=6.034% | SOH MedAPE(raw)=2.298% | val_score=-0.526754
[hard | stage2_soh] epoch 135 | VAL cls=0.9686 | SOC MedAPE(raw)=5.541% | SOH MedAPE(raw)=2.536% | val_score=-0.536242
[hard | stage2_soh] epoch 136 | VAL cls=0.9686 | SOC MedAPE(raw)=5.914% | SOH MedAPE(raw)=2.602% | val_score=-0.536501
[hard | stage2_soh] epoch 137 | VAL cls=0.9686 | SOC MedAPE(raw)=5.653% | SOH MedAPE(raw)=2.210% | val_score=-0.522103
[hard | stage2_soh] epoch 138 | VAL cls=0.9686 | SOC MedAPE(raw)=6.160% | SOH MedAPE(raw)=2.492% | val_score=-0.514482
[hard | stage2_soh] epoch 139 | VAL cls=0.9686 | SOC MedAPE(raw)=5.878% | SOH MedAPE(raw)=2.466% | val_score=-0.523400
[hard | stage2_soh] epoch 140 | VAL cls=0.9686 | SOC MedAPE(raw)=6.072% | SOH MedAPE(raw)=2.333% | val_score=-0.572937
[hard | stage2_soh] epoch 141 | VAL cls=0.9686 | SOC MedAPE(raw)=5.959% | SOH MedAPE(raw)=2.430% | val_score=-0.537299
[hard | stage2_soh] epoch 142 | VAL cls=0.9686 | SOC MedAPE(raw)=5.905% | SOH MedAPE(raw)=2.342% | val_score=-0.511297
