nohup: ignoring input
[INFO] Device: cpu
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from non-test IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=200, best_score=0.769288, best_epoch=175
[stage1_soc] Loaded BEST checkpoint from epoch=175 | score=0.7692876669159386
[RESUME-stage2_soh] start_epoch=43, best_score=-0.615578, best_epoch=29
[stage2_soh] epoch 158 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.902% | VAL SOH MedAPE(raw)=4.655% | val_score=-0.705972 | TEST cls=0.8688
[stage2_soh] epoch 159 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.786% | VAL SOH MedAPE(raw)=4.615% | val_score=-0.694831 | TEST cls=0.8688
[stage2_soh] epoch 160 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.455% | VAL SOH MedAPE(raw)=4.604% | val_score=-0.703395 | TEST cls=0.8688
[stage2_soh] epoch 161 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.131% | VAL SOH MedAPE(raw)=4.594% | val_score=-0.707437 | TEST cls=0.8688
[stage2_soh] epoch 162 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.049% | VAL SOH MedAPE(raw)=4.545% | val_score=-0.706522 | TEST cls=0.8688
[stage2_soh] epoch 163 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.743% | VAL SOH MedAPE(raw)=4.795% | val_score=-0.714075 | TEST cls=0.8688
[stage2_soh] epoch 164 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.977% | VAL SOH MedAPE(raw)=4.710% | val_score=-0.699559 | TEST cls=0.8688
[stage2_soh] epoch 165 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.730% | VAL SOH MedAPE(raw)=4.782% | val_score=-0.711892 | TEST cls=0.8688
[stage2_soh] epoch 166 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.189% | VAL SOH MedAPE(raw)=4.778% | val_score=-0.718449 | TEST cls=0.8688
[stage2_soh] epoch 167 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.626% | VAL SOH MedAPE(raw)=5.136% | val_score=-0.717799 | TEST cls=0.8688
[stage2_soh] epoch 168 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.686% | VAL SOH MedAPE(raw)=4.480% | val_score=-0.696674 | TEST cls=0.8688
[stage2_soh] epoch 169 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.897% | VAL SOH MedAPE(raw)=4.761% | val_score=-0.710280 | TEST cls=0.8688
