nohup: ignoring input
[CACHE] Train tag: raw_train_c292c3d99a | hit=False
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=False
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 75733 | unique IDs = 512
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] U1-U41 train-only normalization is disabled for this baseline.
Epoch 114 | TE cls=0.8602 | SOC MedAPE(raw)=17.880% | SOH MedAPE(raw)=3.181% | train_select_score=0.862043 | time=33.50s
Epoch 115 | TE cls=0.8477 | SOC MedAPE(raw)=18.986% | SOH MedAPE(raw)=3.437% | train_select_score=0.864387 | time=36.05s
Epoch 116 | TE cls=0.8352 | SOC MedAPE(raw)=19.440% | SOH MedAPE(raw)=3.662% | train_select_score=0.867726 | time=35.16s
Epoch 117 | TE cls=0.8750 | SOC MedAPE(raw)=16.281% | SOH MedAPE(raw)=3.277% | train_select_score=0.863822 | time=33.17s
Epoch 118 | TE cls=0.8258 | SOC MedAPE(raw)=18.247% | SOH MedAPE(raw)=3.624% | train_select_score=0.866922 | time=37.67s
Epoch 119 | TE cls=0.8266 | SOC MedAPE(raw)=17.411% | SOH MedAPE(raw)=3.612% | train_select_score=0.869678 | time=32.92s
Epoch 120 | TE cls=0.8836 | SOC MedAPE(raw)=15.681% | SOH MedAPE(raw)=3.232% | train_select_score=0.868803 | time=32.79s
Epoch 121 | TE cls=0.8570 | SOC MedAPE(raw)=18.266% | SOH MedAPE(raw)=3.291% | train_select_score=0.868703 | time=35.51s
Epoch 122 | TE cls=0.8719 | SOC MedAPE(raw)=19.749% | SOH MedAPE(raw)=3.254% | train_select_score=0.868064 | time=32.91s
Epoch 123 | TE cls=0.8383 | SOC MedAPE(raw)=19.137% | SOH MedAPE(raw)=3.581% | train_select_score=0.868168 | time=33.54s
Epoch 124 | TE cls=0.8914 | SOC MedAPE(raw)=16.755% | SOH MedAPE(raw)=3.317% | train_select_score=0.869475 | time=33.35s
Epoch 125 | TE cls=0.8719 | SOC MedAPE(raw)=16.502% | SOH MedAPE(raw)=3.006% | train_select_score=0.873154 | time=33.54s
Epoch 126 | TE cls=0.8641 | SOC MedAPE(raw)=22.280% | SOH MedAPE(raw)=3.489% | train_select_score=0.867966 | time=33.68s
Epoch 127 | TE cls=0.8797 | SOC MedAPE(raw)=15.654% | SOH MedAPE(raw)=3.043% | train_select_score=0.871782 | time=33.15s
Epoch 128 | TE cls=0.8930 | SOC MedAPE(raw)=16.790% | SOH MedAPE(raw)=2.907% | train_select_score=0.872010 | time=33.28s
Epoch 129 | TE cls=0.8711 | SOC MedAPE(raw)=16.828% | SOH MedAPE(raw)=3.152% | train_select_score=0.872748 | time=33.57s
Epoch 130 | TE cls=0.8695 | SOC MedAPE(raw)=19.863% | SOH MedAPE(raw)=3.197% | train_select_score=0.873985 | time=33.69s
Epoch 131 | TE cls=0.8891 | SOC MedAPE(raw)=15.055% | SOH MedAPE(raw)=3.161% | train_select_score=0.871888 | time=33.56s
Epoch 132 | TE cls=0.8445 | SOC MedAPE(raw)=16.713% | SOH MedAPE(raw)=3.222% | train_select_score=0.874861 | time=33.85s
Epoch 133 | TE cls=0.8500 | SOC MedAPE(raw)=16.251% | SOH MedAPE(raw)=3.079% | train_select_score=0.873703 | time=37.63s
Epoch 134 | TE cls=0.8703 | SOC MedAPE(raw)=17.749% | SOH MedAPE(raw)=3.271% | train_select_score=0.875251 | time=32.91s
Epoch 135 | TE cls=0.8750 | SOC MedAPE(raw)=18.333% | SOH MedAPE(raw)=3.214% | train_select_score=0.874025 | time=32.91s
Epoch 136 | TE cls=0.8945 | SOC MedAPE(raw)=15.331% | SOH MedAPE(raw)=3.352% | train_select_score=0.875336 | time=33.01s
Epoch 137 | TE cls=0.8680 | SOC MedAPE(raw)=17.929% | SOH MedAPE(raw)=3.185% | train_select_score=0.875415 | time=32.93s
Epoch 138 | TE cls=0.9055 | SOC MedAPE(raw)=15.547% | SOH MedAPE(raw)=2.918% | train_select_score=0.874219 | time=32.84s
Epoch 139 | TE cls=0.8859 | SOC MedAPE(raw)=16.086% | SOH MedAPE(raw)=3.072% | train_select_score=0.877442 | time=33.48s
Epoch 140 | TE cls=0.8719 | SOC MedAPE(raw)=17.561% | SOH MedAPE(raw)=3.193% | train_select_score=0.875438 | time=33.57s
Epoch 141 | TE cls=0.8789 | SOC MedAPE(raw)=15.036% | SOH MedAPE(raw)=3.533% | train_select_score=0.876688 | time=33.57s
