[INFO] Device: cpu
[INFO] Channel mode: ch12 | input_channels=2
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=196, best_score=0.831370, best_epoch=136
[stage2_soh] epoch 124 | VAL cls=0.9745 | SOC MedAPE(raw)=6.532% | SOH MedAPE(raw)=2.226% | val_score=-0.501273
[stage2_soh] epoch 125 | VAL cls=0.9745 | SOC MedAPE(raw)=6.261% | SOH MedAPE(raw)=2.613% | val_score=-0.519893
[stage2_soh] epoch 126 | VAL cls=0.9745 | SOC MedAPE(raw)=6.637% | SOH MedAPE(raw)=2.567% | val_score=-0.522481
[stage2_soh] epoch 127 | VAL cls=0.9745 | SOC MedAPE(raw)=6.507% | SOH MedAPE(raw)=2.369% | val_score=-0.486756
[stage2_soh] epoch 128 | VAL cls=0.9745 | SOC MedAPE(raw)=6.376% | SOH MedAPE(raw)=2.475% | val_score=-0.496609
[stage2_soh] epoch 129 | VAL cls=0.9745 | SOC MedAPE(raw)=6.218% | SOH MedAPE(raw)=2.365% | val_score=-0.524786
[stage2_soh] epoch 130 | VAL cls=0.9745 | SOC MedAPE(raw)=6.335% | SOH MedAPE(raw)=2.364% | val_score=-0.531753
[stage2_soh] epoch 131 | VAL cls=0.9745 | SOC MedAPE(raw)=6.737% | SOH MedAPE(raw)=2.292% | val_score=-0.520019
[stage2_soh] epoch 132 | VAL cls=0.9745 | SOC MedAPE(raw)=6.376% | SOH MedAPE(raw)=2.532% | val_score=-0.488936
[stage2_soh] epoch 133 | VAL cls=0.9745 | SOC MedAPE(raw)=6.740% | SOH MedAPE(raw)=2.609% | val_score=-0.506816
[stage2_soh] epoch 134 | VAL cls=0.9745 | SOC MedAPE(raw)=6.389% | SOH MedAPE(raw)=2.572% | val_score=-0.523898
[stage2_soh] epoch 135 | VAL cls=0.9745 | SOC MedAPE(raw)=6.897% | SOH MedAPE(raw)=2.266% | val_score=-0.501884
[stage2_soh] epoch 136 | VAL cls=0.9745 | SOC MedAPE(raw)=6.540% | SOH MedAPE(raw)=2.491% | val_score=-0.507720
[stage2_soh] epoch 137 | VAL cls=0.9745 | SOC MedAPE(raw)=6.476% | SOH MedAPE(raw)=2.509% | val_score=-0.521299
[stage2_soh] epoch 138 | VAL cls=0.9745 | SOC MedAPE(raw)=6.192% | SOH MedAPE(raw)=2.444% | val_score=-0.505346
[stage2_soh] epoch 139 | VAL cls=0.9745 | SOC MedAPE(raw)=6.558% | SOH MedAPE(raw)=2.413% | val_score=-0.539877
