nohup: ignoring input
[INFO] Device: cpu
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from non-test IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=200, best_score=0.781562, best_epoch=110
[stage1_soc] Loaded BEST checkpoint from epoch=110 | score=0.7815618664559785
[RESUME-stage2_soh] start_epoch=55, best_score=-0.736911, best_epoch=51
[stage2_soh] epoch 130 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.872% | VAL SOH MedAPE(raw)=5.158% | val_score=-0.804145 | TEST cls=0.8453
[stage2_soh] epoch 131 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.375% | VAL SOH MedAPE(raw)=5.277% | val_score=-0.784730 | TEST cls=0.8453
[stage2_soh] epoch 132 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.461% | VAL SOH MedAPE(raw)=4.983% | val_score=-0.768102 | TEST cls=0.8453
[stage2_soh] epoch 133 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.144% | VAL SOH MedAPE(raw)=5.214% | val_score=-0.788783 | TEST cls=0.8453
[stage2_soh] epoch 134 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.444% | VAL SOH MedAPE(raw)=5.423% | val_score=-0.784026 | TEST cls=0.8453
[stage2_soh] epoch 135 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.872% | VAL SOH MedAPE(raw)=5.817% | val_score=-0.808784 | TEST cls=0.8453
[stage2_soh] epoch 136 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.491% | VAL SOH MedAPE(raw)=4.846% | val_score=-0.779041 | TEST cls=0.8453
[stage2_soh] epoch 137 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.558% | VAL SOH MedAPE(raw)=5.225% | val_score=-0.755940 | TEST cls=0.8453
[stage2_soh] epoch 138 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.274% | VAL SOH MedAPE(raw)=5.527% | val_score=-0.795461 | TEST cls=0.8453
[stage2_soh] epoch 139 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.614% | VAL SOH MedAPE(raw)=4.953% | val_score=-0.768630 | TEST cls=0.8453
[stage2_soh] epoch 140 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.355% | VAL SOH MedAPE(raw)=5.109% | val_score=-0.795227 | TEST cls=0.8453
[stage2_soh] epoch 141 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.472% | VAL SOH MedAPE(raw)=5.179% | val_score=-0.769824 | TEST cls=0.8453
[stage2_soh] epoch 142 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.556% | VAL SOH MedAPE(raw)=4.954% | val_score=-0.794936 | TEST cls=0.8453
[stage2_soh] epoch 143 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.378% | VAL SOH MedAPE(raw)=5.162% | val_score=-0.799323 | TEST cls=0.8453
[stage2_soh] epoch 144 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.418% | VAL SOH MedAPE(raw)=5.133% | val_score=-0.773257 | TEST cls=0.8453
[stage2_soh] epoch 145 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.005% | VAL SOH MedAPE(raw)=5.153% | val_score=-0.809751 | TEST cls=0.8453
[stage2_soh] epoch 146 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.091% | VAL SOH MedAPE(raw)=5.084% | val_score=-0.816081 | TEST cls=0.8453
[stage2_soh] epoch 147 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.422% | VAL SOH MedAPE(raw)=5.287% | val_score=-0.776375 | TEST cls=0.8453
[stage2_soh] epoch 148 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.769% | VAL SOH MedAPE(raw)=5.661% | val_score=-0.778935 | TEST cls=0.8453
[stage2_soh] epoch 149 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.698% | VAL SOH MedAPE(raw)=4.877% | val_score=-0.752592 | TEST cls=0.8453
[stage2_soh] epoch 150 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.874% | VAL SOH MedAPE(raw)=5.146% | val_score=-0.805842 | TEST cls=0.8453
[stage2_soh] epoch 151 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.588% | VAL SOH MedAPE(raw)=5.658% | val_score=-0.792747 | TEST cls=0.8453
[stage2_soh] epoch 152 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.465% | VAL SOH MedAPE(raw)=5.451% | val_score=-0.772254 | TEST cls=0.8453
[stage2_soh] epoch 153 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.535% | VAL SOH MedAPE(raw)=5.177% | val_score=-0.794076 | TEST cls=0.8453
[stage2_soh] epoch 154 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.853% | VAL SOH MedAPE(raw)=6.021% | val_score=-0.800533 | TEST cls=0.8453
[stage2_soh] epoch 155 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.715% | VAL SOH MedAPE(raw)=5.467% | val_score=-0.771743 | TEST cls=0.8453
[stage2_soh] epoch 156 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.600% | VAL SOH MedAPE(raw)=6.178% | val_score=-0.784470 | TEST cls=0.8453
[stage2_soh] epoch 157 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.672% | VAL SOH MedAPE(raw)=5.557% | val_score=-0.781308 | TEST cls=0.8453
[stage2_soh] epoch 158 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.165% | VAL SOH MedAPE(raw)=4.897% | val_score=-0.773413 | TEST cls=0.8453
[stage2_soh] epoch 159 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.819% | VAL SOH MedAPE(raw)=5.245% | val_score=-0.794083 | TEST cls=0.8453
[stage2_soh] epoch 160 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.657% | VAL SOH MedAPE(raw)=5.068% | val_score=-0.791288 | TEST cls=0.8453
[stage2_soh] epoch 161 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.507% | VAL SOH MedAPE(raw)=4.863% | val_score=-0.803691 | TEST cls=0.8453
[stage2_soh] epoch 162 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.396% | VAL SOH MedAPE(raw)=4.910% | val_score=-0.792584 | TEST cls=0.8453
[stage2_soh] epoch 163 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.821% | VAL SOH MedAPE(raw)=4.935% | val_score=-0.778705 | TEST cls=0.8453
[stage2_soh] epoch 164 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.434% | VAL SOH MedAPE(raw)=5.539% | val_score=-0.799268 | TEST cls=0.8453
[stage2_soh] epoch 165 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.372% | VAL SOH MedAPE(raw)=5.253% | val_score=-0.790236 | TEST cls=0.8453
[stage2_soh] epoch 166 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.083% | VAL SOH MedAPE(raw)=5.173% | val_score=-0.785647 | TEST cls=0.8453
[stage2_soh] epoch 167 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.591% | VAL SOH MedAPE(raw)=5.565% | val_score=-0.807067 | TEST cls=0.8453
[stage2_soh] epoch 168 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.241% | VAL SOH MedAPE(raw)=4.935% | val_score=-0.795101 | TEST cls=0.8453
[stage2_soh] epoch 169 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.243% | VAL SOH MedAPE(raw)=5.796% | val_score=-0.767943 | TEST cls=0.8453
[stage2_soh] epoch 170 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.746% | VAL SOH MedAPE(raw)=5.431% | val_score=-0.789380 | TEST cls=0.8453
