nohup: ignoring input

==========================================================================================
[RUN] Hierarchy ablation: soc_to_soh
[RUN] Meaning: Partial hierarchy: z->M, z->SOC, z+SOC->SOH
[RUN] Pulse list: [30, 50, 70, 100, 300, 500, 700, 1000, 3000, 5000]
[RUN] Output directory: /scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/hierarchy_ablation/soc_to_soh
==========================================================================================
[INFO] Device: cpu
[INFO] Structure mode: soc_to_soh
[INFO] Meaning: Partial hierarchy: z->M, z->SOC, z+SOC->SOH
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=200, best_score=0.830146, best_epoch=189
[soc_to_soh | stage1_soc] Loaded BEST checkpoint from epoch=189 | score=0.8301455025321717
[RESUME-stage2_soh] start_epoch=26, best_score=-0.430162, best_epoch=16
[soc_to_soh | stage2_soh] epoch 131 | VAL cls=0.9745 | SOC MedAPE(raw)=6.295% | SOH MedAPE(raw)=2.690% | score=-0.449307
[soc_to_soh | stage2_soh] epoch 132 | VAL cls=0.9745 | SOC MedAPE(raw)=6.663% | SOH MedAPE(raw)=2.932% | score=-0.463600
[soc_to_soh | stage2_soh] epoch 133 | VAL cls=0.9745 | SOC MedAPE(raw)=6.373% | SOH MedAPE(raw)=2.487% | score=-0.480068
[soc_to_soh | stage2_soh] epoch 134 | VAL cls=0.9745 | SOC MedAPE(raw)=6.583% | SOH MedAPE(raw)=2.881% | score=-0.454457
[soc_to_soh | stage2_soh] epoch 135 | VAL cls=0.9745 | SOC MedAPE(raw)=6.715% | SOH MedAPE(raw)=2.715% | score=-0.502385
[soc_to_soh | stage2_soh] epoch 136 | VAL cls=0.9745 | SOC MedAPE(raw)=6.486% | SOH MedAPE(raw)=2.523% | score=-0.427368
[soc_to_soh | stage2_soh] epoch 137 | VAL cls=0.9745 | SOC MedAPE(raw)=6.724% | SOH MedAPE(raw)=2.582% | score=-0.438553
[soc_to_soh | stage2_soh] epoch 138 | VAL cls=0.9745 | SOC MedAPE(raw)=6.596% | SOH MedAPE(raw)=2.461% | score=-0.472901
[soc_to_soh | stage2_soh] epoch 139 | VAL cls=0.9745 | SOC MedAPE(raw)=6.699% | SOH MedAPE(raw)=2.831% | score=-0.465231
[soc_to_soh | stage2_soh] epoch 140 | VAL cls=0.9745 | SOC MedAPE(raw)=6.413% | SOH MedAPE(raw)=2.553% | score=-0.457214
[soc_to_soh | stage2_soh] epoch 141 | VAL cls=0.9745 | SOC MedAPE(raw)=6.102% | SOH MedAPE(raw)=2.675% | score=-0.453093
[soc_to_soh | stage2_soh] epoch 142 | VAL cls=0.9745 | SOC MedAPE(raw)=6.627% | SOH MedAPE(raw)=2.786% | score=-0.458762
[soc_to_soh | stage2_soh] epoch 143 | VAL cls=0.9745 | SOC MedAPE(raw)=6.606% | SOH MedAPE(raw)=2.910% | score=-0.478893
[soc_to_soh | stage2_soh] epoch 144 | VAL cls=0.9745 | SOC MedAPE(raw)=6.962% | SOH MedAPE(raw)=2.703% | score=-0.462455
[soc_to_soh | stage2_soh] epoch 145 | VAL cls=0.9745 | SOC MedAPE(raw)=6.589% | SOH MedAPE(raw)=2.949% | score=-0.464103
[soc_to_soh | stage2_soh] epoch 146 | VAL cls=0.9745 | SOC MedAPE(raw)=6.347% | SOH MedAPE(raw)=2.585% | score=-0.435940
[soc_to_soh | stage2_soh] epoch 147 | VAL cls=0.9745 | SOC MedAPE(raw)=6.465% | SOH MedAPE(raw)=2.675% | score=-0.472636
[soc_to_soh | stage2_soh] epoch 148 | VAL cls=0.9745 | SOC MedAPE(raw)=6.510% | SOH MedAPE(raw)=2.533% | score=-0.462272
