soc_flow_base_noise,soh_flow_base_noise
-2.823567,-2.9384382
-2.0449314,-2.49024
2.983082,1.6567688
0.8063888,2.7295032
2.9848018,0.03932929
-2.1671364,0.24347775
0.10636544,-1.0835478
-0.6642957,0.17334175
-1.3398349,-1.3675414
-1.2585574,-0.5775728
-1.0898607,-0.516207
0.35093856,0.25290152
-1.4748931,0.27799922
-0.5992842,0.1900608
-0.5979984,-1.4331521
-1.4831674,-0.58177686
-1.1956686,-0.6141654
-0.4621796,-0.8239502
-1.165981,-0.9688795
-0.3357339,-2.8425474
-1.8836818,0.01626563
-0.39490533,-1.6505165
0.04667163,0.45879793
-1.464049,-0.79852265
-0.5589993,-2.8998907
-0.76748395,0.60966074
-1.4623364,-0.84143764
-0.8080454,-1.1088815
-1.6513989,-1.2912046
-1.2006755,-0.7245147
-0.835011,2.9832728
-1.7850723,-2.9924195
0.6019156,-2.9758544
0.067564964,-1.3177375
-2.4846604,-2.9925852
-0.6767237,-1.3495517
2.4112742,0.010412812
-0.43712568,0.74933934
-1.2162789,-1.7146957
2.138403,2.2972178
-2.7305849,-2.8713698
0.10582614,-1.7315385
-1.2203203,0.7972958
-0.98195004,-0.9490689
-0.955897,-2.991479
-2.9415698,-2.9056199
0.025942564,-1.7462274
-0.001509428,-1.4968153
0.09596491,0.106435105
-0.3658321,-2.5138183
-0.20579386,-1.4039159
-1.1087185,0.36682928
-0.87021554,-1.1225729
0.11524129,0.14168799
-0.32010078,2.2178533
0.084599495,1.386783
0.20434213,-0.120601
0.2594204,-2.2689815
2.2712393,1.9516351
-1.3139671,-1.0970647
0.4924748,-0.491763
0.8963394,2.412748
0.9954839,0.55460995
0.7628565,-1.8021923
0.121325016,-2.8981955
0.08998752,-0.90969265
0.14922357,-1.8680066
0.014256716,-1.8180642
-1.1818845,-2.8859353
0.35618377,-0.8055861
-0.27003574,-2.060938
-2.897799,-2.97677
-1.5145389,-2.9269817
2.6270993,-1.5946096
2.7671432,-2.310672
1.5753665,2.536927
-0.9203814,-2.7068083
-2.5677311,-1.7695498
-2.839884,-2.9453475
0.056133628,-0.58982956
0.7210095,0.16155556
2.0465918,2.3993635
1.0832072,1.5531235
-0.8220293,-1.6993383
2.334815,2.923211
0.37787604,-1.0244836
1.3183668,-1.2890468
0.9475572,-2.2957118
-1.2408786,-2.6808982
2.9937212,-1.8396385
0.14828563,-0.58105516
-0.74584854,-1.0573809
1.3683324,2.6269064
0.13927865,-2.9763513
-1.0837499,-2.996061
0.43261218,-0.1465759
-2.4857574,-2.2395194
2.9640388,1.166264
-2.9829328,-2.5477502
0.63693404,-0.32235223
-1.5946311,-2.9946537
-2.9842055,-2.9606242
-2.9744484,-2.985728
2.8818905,2.6115224
0.25997514,2.6939814
-2.452939,2.7002227
1.9257722,2.7353194
2.0118194,2.8793304
0.33886474,1.6739135
-1.7489558,-2.7499676
-1.857729,-2.7993963
-1.484808,-1.114403
0.092203856,2.786603
2.373858,-0.10673523
-2.5673218,2.9593925
1.9791687,2.6853871
2.3224857,-1.6756057
1.0129509,-1.138587
-0.998839,-2.984396
1.6018043,1.420216
-2.9674435,-2.98441
-1.3672353,-2.4113686
2.475921,2.6587875
-1.5973456,-2.4496398
-2.7443876,-2.8585691
-2.030783,-0.28575772
-2.9471242,-2.9855566
-0.6392255,-2.5870569
-2.4553123,-2.6925561
-2.6356342,-2.970368
2.9824815,1.0600196
1.4777986,2.643706
2.9813373,0.75007343
-2.3697934,0.26291597
0.85339284,-1.4372663
-0.1063478,-0.11607528
-1.4256094,-1.6016532
-2.2158613,-0.5565468
-1.7653,-0.6690779
0.04729414,0.45376098
-1.7453479,0.08002171
0.6796193,0.2002509
-0.0010519028,-1.52744
-0.1537013,-0.65758514
-1.2077562,-0.6348082
-1.1992905,-0.73585826
-0.9495747,-0.8837298
-0.51210904,-2.9464653
-2.181252,-0.8369323
-0.034914732,-1.7430285
1.2847385,0.44598603
-1.2715663,-0.5948113
0.71061873,-2.9253006
-0.53893423,0.663543
-0.40324426,-0.5899601
0.058101654,-1.2263863
-0.11984682,-1.1104186
-1.0705655,-0.815334
-1.116357,2.9688213
-2.2425485,-2.9928768
-0.6467576,-2.9840612
-0.49626994,-1.5844605
-2.6185243,-2.992802
-1.2821009,-1.0562544
2.84283,2.3170767
0.28584933,0.020492673
-1.3805033,-1.7664413
1.6069758,2.1816165
-2.4274538,-2.9401689
-0.056548357,-1.9058669
-0.9651674,1.7187794
-0.9693296,-0.48377824
-0.5926857,-2.9931612
-0.6568709,-2.9166074
0.5506406,-1.2435546
-0.7715491,-2.0020976
0.33065033,-0.09429455
-0.14671898,-2.1449468
0.20937634,-1.0166637
-0.3036797,0.19874692
-0.14222199,-1.2274207
0.2861762,0.058716953
0.64579034,2.859872
1.3825383,2.1225677
-0.032516718,0.60393715
-0.14175367,-2.733377
2.1972191,1.4343467
-1.6112992,-1.414655
0.16844082,-0.5712913
0.605598,2.0366805
0.794193,0.6189634
0.6696379,-1.7460363
-0.29703355,-2.910894
0.0020170212,-0.784289
0.29032612,-1.9827963
-0.33570695,-2.5102744
-1.1219058,-2.8847368
0.3219614,-1.4269571
-0.1569655,-2.7395978
-2.9296124,-2.983795
-1.426442,-2.8814175
2.5416265,-1.4970604
2.8798308,-0.43795753
1.1948807,2.38454
-1.1757547,-2.8114414
-2.3508003,-1.8018242
-2.78622,-2.9621515
0.27074313,-0.34047017
-0.18566748,-0.9515097
1.5341799,2.4141304
0.33826995,0.7917707
-1.7247615,-1.9880819
2.4616492,2.8949766
1.1519457,2.9396856
1.0859882,-1.7584298
0.58314204,-2.2669687
-1.5772799,-2.9099817
2.9923203,-2.0496862
0.16899872,-0.77081335
-1.0165628,-1.0068483
1.2376559,2.2241378
-0.734313,-2.99688
-0.48170424,-2.9958105
1.4407079,1.171835
-2.4455614,-0.60035205
2.9589307,1.1059165
-2.9829712,-2.6011014
1.3981197,0.6148237
-1.856808,-2.9973314
-2.98519,-2.958646
-2.975586,-2.9856384
2.960543,2.7822695
0.24534476,2.7502832
-0.1358294,0.58772725
0.20469302,1.5887136
1.5998073,2.9319162
0.15146232,2.5127537
-2.0186315,-2.596389
-2.1480727,-2.9485924
-1.8700955,-1.1377145
0.18084335,2.8060331
2.021074,-0.42699873
0.49843863,2.929845
1.016783,2.8651047
2.2422915,-1.8507022
1.2762325,-0.51205933
-0.78802246,-2.9826314
-1.1946368,-1.4090173
-2.5817308,-2.9734144
-2.7528024,-1.1654375
1.3561593,2.7287216
-1.7973131,-2.9026327
-2.9749668,-2.8581362
0.13211411,-2.9374318
-1.1575513,-2.951095
-0.27782434,-2.412163
-0.766829,-2.7849967
-0.81889385,-1.8654257
