SOC,SOH,Material,Type
5.0,0.9302961538461538,LMO_26Ah,Fixed_SOC
5.0,0.9303807692307693,LMO_26Ah,Fixed_SOC
5.0,0.9283,LMO_26Ah,Fixed_SOC
5.0,0.9421076923076923,LMO_26Ah,Fixed_SOC
5.0,0.9324807692307692,LMO_26Ah,Fixed_SOC
5.0,0.9575115384615385,LMO_26Ah,Fixed_SOC
5.0,0.9616269230769231,LMO_26Ah,Fixed_SOC
5.0,0.9642538461538461,LMO_26Ah,Fixed_SOC
5.0,0.8061884615384615,LMO_26Ah,Fixed_SOC
5.0,0.9237307692307692,LMO_26Ah,Fixed_SOC
5.0,0.8958153846153846,LMO_26Ah,Fixed_SOC
5.0,0.9559,LMO_26Ah,Fixed_SOC
5.0,0.9450500000000001,LMO_26Ah,Fixed_SOC
5.0,0.9602692307692308,LMO_26Ah,Fixed_SOC
5.0,1.006011538461538,LMO_26Ah,Fixed_SOC
5.0,0.9981192307692308,LMO_26Ah,Fixed_SOC
5.0,1.006761538461538,LMO_26Ah,Fixed_SOC
5.0,0.9483615384615385,LMO_26Ah,Fixed_SOC
5.0,0.9380807692307692,LMO_26Ah,Fixed_SOC
5.0,0.796776923076923,LMO_26Ah,Fixed_SOC
5.0,0.9750538461538463,LMO_26Ah,Fixed_SOC
5.0,0.9683884615384616,LMO_26Ah,Fixed_SOC
5.0,0.9811076923076923,LMO_26Ah,Fixed_SOC
5.0,0.9904153846153847,LMO_26Ah,Fixed_SOC
5.0,1.018746153846154,LMO_26Ah,Fixed_SOC
5.0,0.9658038461538462,LMO_26Ah,Fixed_SOC
